pdb_file,metadata_file,protein_chains,complex_chains
data/Ankyrin_repeat_protein/pdb_files/3LJN.pdb,data/Ankyrin_repeat_protein/metadata_files/3LJN_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5EID.pdb,data/Ankyrin_repeat_protein/metadata_files/5EID_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4K5C.pdb,data/Ankyrin_repeat_protein/metadata_files/4K5C_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2ZGD.pdb,data/Ankyrin_repeat_protein/metadata_files/2ZGD_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2JAB.pdb,data/Ankyrin_repeat_protein/metadata_files/2JAB_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/3D9H.pdb,data/Ankyrin_repeat_protein/metadata_files/3D9H_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5CBO.pdb,data/Ankyrin_repeat_protein/metadata_files/5CBO_metadata.json,12,1
data/Ankyrin_repeat_protein/pdb_files/5KBA.pdb,data/Ankyrin_repeat_protein/metadata_files/5KBA_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/6XR2.pdb,data/Ankyrin_repeat_protein/metadata_files/6XR2_metadata.json,6,1
data/Ankyrin_repeat_protein/pdb_files/8ZLC.pdb,data/Ankyrin_repeat_protein/metadata_files/8ZLC_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1IHB.pdb,data/Ankyrin_repeat_protein/metadata_files/1IHB_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/3KEA.pdb,data/Ankyrin_repeat_protein/metadata_files/3KEA_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2XEH.pdb,data/Ankyrin_repeat_protein/metadata_files/2XEH_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/4O60.pdb,data/Ankyrin_repeat_protein/metadata_files/4O60_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1IXV.pdb,data/Ankyrin_repeat_protein/metadata_files/1IXV_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5U0J.pdb,data/Ankyrin_repeat_protein/metadata_files/5U0J_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5Z2N.pdb,data/Ankyrin_repeat_protein/metadata_files/5Z2N_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4UUC.pdb,data/Ankyrin_repeat_protein/metadata_files/4UUC_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/7KB2.pdb,data/Ankyrin_repeat_protein/metadata_files/7KB2_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4ZFH.pdb,data/Ankyrin_repeat_protein/metadata_files/4ZFH_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/8E0N.pdb,data/Ankyrin_repeat_protein/metadata_files/8E0N_metadata.json,6,1
data/Ankyrin_repeat_protein/pdb_files/1MX4.pdb,data/Ankyrin_repeat_protein/metadata_files/1MX4_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1MX6.pdb,data/Ankyrin_repeat_protein/metadata_files/1MX6_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1MX2.pdb,data/Ankyrin_repeat_protein/metadata_files/1MX2_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1SW6.pdb,data/Ankyrin_repeat_protein/metadata_files/1SW6_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1DCQ.pdb,data/Ankyrin_repeat_protein/metadata_files/1DCQ_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2B0O.pdb,data/Ankyrin_repeat_protein/metadata_files/2B0O_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/2MYQ.pdb,data/Ankyrin_repeat_protein/metadata_files/2MYQ_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/6F7O.pdb,data/Ankyrin_repeat_protein/metadata_files/6F7O_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5KNG.pdb,data/Ankyrin_repeat_protein/metadata_files/5KNG_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/3SO8.pdb,data/Ankyrin_repeat_protein/metadata_files/3SO8_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5LE6.pdb,data/Ankyrin_repeat_protein/metadata_files/5LE6_metadata.json,6,1
data/Ankyrin_repeat_protein/pdb_files/1WG0.pdb,data/Ankyrin_repeat_protein/metadata_files/1WG0_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4O1P.pdb,data/Ankyrin_repeat_protein/metadata_files/4O1P_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5EYL.pdb,data/Ankyrin_repeat_protein/metadata_files/5EYL_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4O1O.pdb,data/Ankyrin_repeat_protein/metadata_files/4O1O_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/3T8K.pdb,data/Ankyrin_repeat_protein/metadata_files/3T8K_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5EIL.pdb,data/Ankyrin_repeat_protein/metadata_files/5EIL_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/4ZHB.pdb,data/Ankyrin_repeat_protein/metadata_files/4ZHB_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/1N11.pdb,data/Ankyrin_repeat_protein/metadata_files/1N11_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/1MJ0.pdb,data/Ankyrin_repeat_protein/metadata_files/1MJ0_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4DUI.pdb,data/Ankyrin_repeat_protein/metadata_files/4DUI_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/6XH5.pdb,data/Ankyrin_repeat_protein/metadata_files/6XH5_metadata.json,6,1
data/Ankyrin_repeat_protein/pdb_files/4NL9.pdb,data/Ankyrin_repeat_protein/metadata_files/4NL9_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/5U0I.pdb,data/Ankyrin_repeat_protein/metadata_files/5U0I_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4BEP.pdb,data/Ankyrin_repeat_protein/metadata_files/4BEP_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4HLL.pdb,data/Ankyrin_repeat_protein/metadata_files/4HLL_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2LMR.pdb,data/Ankyrin_repeat_protein/metadata_files/2LMR_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5LE3.pdb,data/Ankyrin_repeat_protein/metadata_files/5LE3_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/9IQ8.pdb,data/Ankyrin_repeat_protein/metadata_files/9IQ8_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/4ATZ.pdb,data/Ankyrin_repeat_protein/metadata_files/4ATZ_metadata.json,6,2
data/Ankyrin_repeat_protein/pdb_files/2KIV.pdb,data/Ankyrin_repeat_protein/metadata_files/2KIV_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2KE7.pdb,data/Ankyrin_repeat_protein/metadata_files/2KE7_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4HB5.pdb,data/Ankyrin_repeat_protein/metadata_files/4HB5_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2M38.pdb,data/Ankyrin_repeat_protein/metadata_files/2M38_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5VRQ.pdb,data/Ankyrin_repeat_protein/metadata_files/5VRQ_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5LE7.pdb,data/Ankyrin_repeat_protein/metadata_files/5LE7_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/8E55.pdb,data/Ankyrin_repeat_protein/metadata_files/8E55_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/6JZO.pdb,data/Ankyrin_repeat_protein/metadata_files/6JZO_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/6C9K.pdb,data/Ankyrin_repeat_protein/metadata_files/6C9K_metadata.json,24,2
data/Ankyrin_repeat_protein/pdb_files/2DZN.pdb,data/Ankyrin_repeat_protein/metadata_files/2DZN_metadata.json,6,2
data/Ankyrin_repeat_protein/pdb_files/6XSS.pdb,data/Ankyrin_repeat_protein/metadata_files/6XSS_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/4BER.pdb,data/Ankyrin_repeat_protein/metadata_files/4BER_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6FES.pdb,data/Ankyrin_repeat_protein/metadata_files/6FES_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/4J7W.pdb,data/Ankyrin_repeat_protein/metadata_files/4J7W_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/3EHR.pdb,data/Ankyrin_repeat_protein/metadata_files/3EHR_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4LG6.pdb,data/Ankyrin_repeat_protein/metadata_files/4LG6_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/5Z96.pdb,data/Ankyrin_repeat_protein/metadata_files/5Z96_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/6G1K.pdb,data/Ankyrin_repeat_protein/metadata_files/6G1K_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/7RDR.pdb,data/Ankyrin_repeat_protein/metadata_files/7RDR_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/3Q9N.pdb,data/Ankyrin_repeat_protein/metadata_files/3Q9N_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/3Q9U.pdb,data/Ankyrin_repeat_protein/metadata_files/3Q9U_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/6FPA.pdb,data/Ankyrin_repeat_protein/metadata_files/6FPA_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4F1P.pdb,data/Ankyrin_repeat_protein/metadata_files/4F1P_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6SA7.pdb,data/Ankyrin_repeat_protein/metadata_files/6SA7_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5MAD.pdb,data/Ankyrin_repeat_protein/metadata_files/5MAD_metadata.json,8,2
data/Ankyrin_repeat_protein/pdb_files/5UQE.pdb,data/Ankyrin_repeat_protein/metadata_files/5UQE_metadata.json,5,1
data/Ankyrin_repeat_protein/pdb_files/4BET.pdb,data/Ankyrin_repeat_protein/metadata_files/4BET_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/3EU9.pdb,data/Ankyrin_repeat_protein/metadata_files/3EU9_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/3EHQ.pdb,data/Ankyrin_repeat_protein/metadata_files/3EHQ_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4BES.pdb,data/Ankyrin_repeat_protein/metadata_files/4BES_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4YDW.pdb,data/Ankyrin_repeat_protein/metadata_files/4YDW_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/1BU9.pdb,data/Ankyrin_repeat_protein/metadata_files/1BU9_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/6MCA.pdb,data/Ankyrin_repeat_protein/metadata_files/6MCA_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4NJ8.pdb,data/Ankyrin_repeat_protein/metadata_files/4NJ8_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6TLH.pdb,data/Ankyrin_repeat_protein/metadata_files/6TLH_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/3TWR.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWR_metadata.json,8,2
data/Ankyrin_repeat_protein/pdb_files/3TWS.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWS_metadata.json,8,2
data/Ankyrin_repeat_protein/pdb_files/3TWT.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWT_metadata.json,8,2
data/Ankyrin_repeat_protein/pdb_files/3TWV.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWV_metadata.json,8,2
data/Ankyrin_repeat_protein/pdb_files/5H2A.pdb,data/Ankyrin_repeat_protein/metadata_files/5H2A_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2EAM.pdb,data/Ankyrin_repeat_protein/metadata_files/2EAM_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5GIK.pdb,data/Ankyrin_repeat_protein/metadata_files/5GIK_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5OOU.pdb,data/Ankyrin_repeat_protein/metadata_files/5OOU_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5K34.pdb,data/Ankyrin_repeat_protein/metadata_files/5K34_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2L6B.pdb,data/Ankyrin_repeat_protein/metadata_files/2L6B_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/3JUE.pdb,data/Ankyrin_repeat_protein/metadata_files/3JUE_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4G8L.pdb,data/Ankyrin_repeat_protein/metadata_files/4G8L_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5CEC.pdb,data/Ankyrin_repeat_protein/metadata_files/5CEC_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/5CED.pdb,data/Ankyrin_repeat_protein/metadata_files/5CED_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/7B05.pdb,data/Ankyrin_repeat_protein/metadata_files/7B05_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/7B0S.pdb,data/Ankyrin_repeat_protein/metadata_files/7B0S_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/7B16.pdb,data/Ankyrin_repeat_protein/metadata_files/7B16_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/2XEN.pdb,data/Ankyrin_repeat_protein/metadata_files/2XEN_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/1BD8.pdb,data/Ankyrin_repeat_protein/metadata_files/1BD8_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/2DZO.pdb,data/Ankyrin_repeat_protein/metadata_files/2DZO_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/5AAR.pdb,data/Ankyrin_repeat_protein/metadata_files/5AAR_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5HS0.pdb,data/Ankyrin_repeat_protein/metadata_files/5HS0_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5LE2.pdb,data/Ankyrin_repeat_protein/metadata_files/5LE2_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6FP9.pdb,data/Ankyrin_repeat_protein/metadata_files/6FP9_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6W2R.pdb,data/Ankyrin_repeat_protein/metadata_files/6W2R_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5OOS.pdb,data/Ankyrin_repeat_protein/metadata_files/5OOS_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/8FBN.pdb,data/Ankyrin_repeat_protein/metadata_files/8FBN_metadata.json,6,1
data/Ankyrin_repeat_protein/pdb_files/5CWF.pdb,data/Ankyrin_repeat_protein/metadata_files/5CWF_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/1D9S.pdb,data/Ankyrin_repeat_protein/metadata_files/1D9S_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4HQD.pdb,data/Ankyrin_repeat_protein/metadata_files/4HQD_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4GPM.pdb,data/Ankyrin_repeat_protein/metadata_files/4GPM_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5UIJ.pdb,data/Ankyrin_repeat_protein/metadata_files/5UIJ_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2KE9.pdb,data/Ankyrin_repeat_protein/metadata_files/2KE9_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/7V0X.pdb,data/Ankyrin_repeat_protein/metadata_files/7V0X_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/1SVX.pdb,data/Ankyrin_repeat_protein/metadata_files/1SVX_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/5AQA.pdb,data/Ankyrin_repeat_protein/metadata_files/5AQA_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/7DNF.pdb,data/Ankyrin_repeat_protein/metadata_files/7DNF_metadata.json,6,2
data/Ankyrin_repeat_protein/pdb_files/3DEP.pdb,data/Ankyrin_repeat_protein/metadata_files/3DEP_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/3DEO.pdb,data/Ankyrin_repeat_protein/metadata_files/3DEO_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4GMR.pdb,data/Ankyrin_repeat_protein/metadata_files/4GMR_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6MOG.pdb,data/Ankyrin_repeat_protein/metadata_files/6MOG_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/8E12.pdb,data/Ankyrin_repeat_protein/metadata_files/8E12_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/2W4S.pdb,data/Ankyrin_repeat_protein/metadata_files/2W4S_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/7XQL.pdb,data/Ankyrin_repeat_protein/metadata_files/7XQL_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/7PTY.pdb,data/Ankyrin_repeat_protein/metadata_files/7PTY_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/2BKK.pdb,data/Ankyrin_repeat_protein/metadata_files/2BKK_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/1MYO.pdb,data/Ankyrin_repeat_protein/metadata_files/1MYO_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/1AP7.pdb,data/Ankyrin_repeat_protein/metadata_files/1AP7_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5UIN.pdb,data/Ankyrin_repeat_protein/metadata_files/5UIN_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5UIL.pdb,data/Ankyrin_repeat_protein/metadata_files/5UIL_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/3B7B.pdb,data/Ankyrin_repeat_protein/metadata_files/3B7B_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5OP3.pdb,data/Ankyrin_repeat_protein/metadata_files/5OP3_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/8E0L.pdb,data/Ankyrin_repeat_protein/metadata_files/8E0L_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/7DF7.pdb,data/Ankyrin_repeat_protein/metadata_files/7DF7_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5AQ7.pdb,data/Ankyrin_repeat_protein/metadata_files/5AQ7_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6MEW.pdb,data/Ankyrin_repeat_protein/metadata_files/6MEW_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/5L1M.pdb,data/Ankyrin_repeat_protein/metadata_files/5L1M_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4IS7.pdb,data/Ankyrin_repeat_protein/metadata_files/4IS7_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4XD0.pdb,data/Ankyrin_repeat_protein/metadata_files/4XD0_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/7ZJG.pdb,data/Ankyrin_repeat_protein/metadata_files/7ZJG_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5UIK.pdb,data/Ankyrin_repeat_protein/metadata_files/5UIK_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6LF0.pdb,data/Ankyrin_repeat_protein/metadata_files/6LF0_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4HBD.pdb,data/Ankyrin_repeat_protein/metadata_files/4HBD_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/8AIW.pdb,data/Ankyrin_repeat_protein/metadata_files/8AIW_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/8AK1.pdb,data/Ankyrin_repeat_protein/metadata_files/8AK1_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/7KJ6.pdb,data/Ankyrin_repeat_protein/metadata_files/7KJ6_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6M13.pdb,data/Ankyrin_repeat_protein/metadata_files/6M13_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/7DSY.pdb,data/Ankyrin_repeat_protein/metadata_files/7DSY_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/7DTS.pdb,data/Ankyrin_repeat_protein/metadata_files/7DTS_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6SA8.pdb,data/Ankyrin_repeat_protein/metadata_files/6SA8_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/5YBE.pdb,data/Ankyrin_repeat_protein/metadata_files/5YBE_metadata.json,2,2
data/Ankyrin_repeat_protein/pdb_files/2MYO.pdb,data/Ankyrin_repeat_protein/metadata_files/2MYO_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4XCZ.pdb,data/Ankyrin_repeat_protein/metadata_files/4XCZ_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/4XD1.pdb,data/Ankyrin_repeat_protein/metadata_files/4XD1_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5UIM.pdb,data/Ankyrin_repeat_protein/metadata_files/5UIM_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/9GO9.pdb,data/Ankyrin_repeat_protein/metadata_files/9GO9_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/9GOA.pdb,data/Ankyrin_repeat_protein/metadata_files/9GOA_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/6XKC.pdb,data/Ankyrin_repeat_protein/metadata_files/6XKC_metadata.json,6,1
data/Ankyrin_repeat_protein/pdb_files/5MA9.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA9_metadata.json,8,2
data/Ankyrin_repeat_protein/pdb_files/7ZJD.pdb,data/Ankyrin_repeat_protein/metadata_files/7ZJD_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/7ZJI.pdb,data/Ankyrin_repeat_protein/metadata_files/7ZJI_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/7ZJE.pdb,data/Ankyrin_repeat_protein/metadata_files/7ZJE_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/5YBV.pdb,data/Ankyrin_repeat_protein/metadata_files/5YBV_metadata.json,4,3
data/Ankyrin_repeat_protein/pdb_files/7JYA.pdb,data/Ankyrin_repeat_protein/metadata_files/7JYA_metadata.json,6,2
data/Ankyrin_repeat_protein/pdb_files/5MA8.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA8_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/6LEN.pdb,data/Ankyrin_repeat_protein/metadata_files/6LEN_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/3KBT.pdb,data/Ankyrin_repeat_protein/metadata_files/3KBT_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/6D73.pdb,data/Ankyrin_repeat_protein/metadata_files/6D73_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/8SZL.pdb,data/Ankyrin_repeat_protein/metadata_files/8SZL_metadata.json,4,1
data/Ankyrin_repeat_protein/pdb_files/6M11.pdb,data/Ankyrin_repeat_protein/metadata_files/6M11_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/7ELW.pdb,data/Ankyrin_repeat_protein/metadata_files/7ELW_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/6M12.pdb,data/Ankyrin_repeat_protein/metadata_files/6M12_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5LE8.pdb,data/Ankyrin_repeat_protein/metadata_files/5LE8_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/5CWL.pdb,data/Ankyrin_repeat_protein/metadata_files/5CWL_metadata.json,2,1
data/Ankyrin_repeat_protein/pdb_files/4J8Y.pdb,data/Ankyrin_repeat_protein/metadata_files/4J8Y_metadata.json,1,1
data/Ankyrin_repeat_protein/pdb_files/5OOY.pdb,data/Ankyrin_repeat_protein/metadata_files/5OOY_metadata.json,4,2
data/Ankyrin_repeat_protein/pdb_files/5D68.pdb,data/Ankyrin_repeat_protein/metadata_files/5D68_metadata.json,3,1
data/Ankyrin_repeat_protein/pdb_files/4A63.pdb,data/Ankyrin_repeat_protein/metadata_files/4A63_metadata.json,12,2
data/Ankyrin_repeat_protein/pdb_files/3C5R.pdb,data/Ankyrin_repeat_protein/metadata_files/3C5R_metadata.json,2,1
