pdb_file,metadata_file,protein_chains,polymer_composition,PDB_ID
data/Ankyrin_repeat_protein/pdb_files/6CF6.pdb,data/Ankyrin_repeat_protein/metadata_files/6CF6_metadata.json,4,heteromeric protein,6CF6
data/Ankyrin_repeat_protein/pdb_files/7TTS.pdb,data/Ankyrin_repeat_protein/metadata_files/7TTS_metadata.json,7,heteromeric protein,7TTS
data/Ankyrin_repeat_protein/pdb_files/7V0S.pdb,data/Ankyrin_repeat_protein/metadata_files/7V0S_metadata.json,4,heteromeric protein,7V0S
data/Ankyrin_repeat_protein/pdb_files/6NDZ.pdb,data/Ankyrin_repeat_protein/metadata_files/6NDZ_metadata.json,6,heteromeric protein,6NDZ
data/Ankyrin_repeat_protein/pdb_files/9CYS.pdb,data/Ankyrin_repeat_protein/metadata_files/9CYS_metadata.json,2,heteromeric protein,9CYS
data/Ankyrin_repeat_protein/pdb_files/6NXF.pdb,data/Ankyrin_repeat_protein/metadata_files/6NXF_metadata.json,4,heteromeric protein,6NXF
data/Ankyrin_repeat_protein/pdb_files/7UZQ.pdb,data/Ankyrin_repeat_protein/metadata_files/7UZQ_metadata.json,4,heteromeric protein,7UZQ
data/Ankyrin_repeat_protein/pdb_files/7V0M.pdb,data/Ankyrin_repeat_protein/metadata_files/7V0M_metadata.json,2,heteromeric protein,7V0M
data/Ankyrin_repeat_protein/pdb_files/5BXU.pdb,data/Ankyrin_repeat_protein/metadata_files/5BXU_metadata.json,2,heteromeric protein,5BXU
data/Ankyrin_repeat_protein/pdb_files/6YX0.pdb,data/Ankyrin_repeat_protein/metadata_files/6YX0_metadata.json,4,heteromeric protein,6YX0
data/Ankyrin_repeat_protein/pdb_files/6YX2.pdb,data/Ankyrin_repeat_protein/metadata_files/6YX2_metadata.json,4,heteromeric protein,6YX2
data/Ankyrin_repeat_protein/pdb_files/5F3Y.pdb,data/Ankyrin_repeat_protein/metadata_files/5F3Y_metadata.json,2,heteromeric protein,5F3Y
data/Ankyrin_repeat_protein/pdb_files/7UZU.pdb,data/Ankyrin_repeat_protein/metadata_files/7UZU_metadata.json,2,heteromeric protein,7UZU
data/Ankyrin_repeat_protein/pdb_files/7B4U.pdb,data/Ankyrin_repeat_protein/metadata_files/7B4U_metadata.json,4,heteromeric protein,7B4U
data/Ankyrin_repeat_protein/pdb_files/7B4V.pdb,data/Ankyrin_repeat_protein/metadata_files/7B4V_metadata.json,4,heteromeric protein,7B4V
data/Ankyrin_repeat_protein/pdb_files/6X23.pdb,data/Ankyrin_repeat_protein/metadata_files/6X23_metadata.json,2,heteromeric protein,6X23
data/Ankyrin_repeat_protein/pdb_files/4DRX.pdb,data/Ankyrin_repeat_protein/metadata_files/4DRX_metadata.json,6,heteromeric protein,4DRX
data/Ankyrin_repeat_protein/pdb_files/8CSV.pdb,data/Ankyrin_repeat_protein/metadata_files/8CSV_metadata.json,2,heteromeric protein,8CSV
data/Ankyrin_repeat_protein/pdb_files/6IF3.pdb,data/Ankyrin_repeat_protein/metadata_files/6IF3_metadata.json,2,heteromeric protein,6IF3
data/Ankyrin_repeat_protein/pdb_files/7TW3.pdb,data/Ankyrin_repeat_protein/metadata_files/7TW3_metadata.json,4,heteromeric protein,7TW3
data/Ankyrin_repeat_protein/pdb_files/5AQ9.pdb,data/Ankyrin_repeat_protein/metadata_files/5AQ9_metadata.json,4,heteromeric protein,5AQ9
data/Ankyrin_repeat_protein/pdb_files/5W7I.pdb,data/Ankyrin_repeat_protein/metadata_files/5W7I_metadata.json,4,heteromeric protein,5W7I
data/Ankyrin_repeat_protein/pdb_files/5ET1.pdb,data/Ankyrin_repeat_protein/metadata_files/5ET1_metadata.json,4,heteromeric protein,5ET1
data/Ankyrin_repeat_protein/pdb_files/3QJM.pdb,data/Ankyrin_repeat_protein/metadata_files/3QJM_metadata.json,4,heteromeric protein,3QJM
data/Ankyrin_repeat_protein/pdb_files/7A00.pdb,data/Ankyrin_repeat_protein/metadata_files/7A00_metadata.json,4,heteromeric protein,7A00
data/Ankyrin_repeat_protein/pdb_files/5K35.pdb,data/Ankyrin_repeat_protein/metadata_files/5K35_metadata.json,2,heteromeric protein,5K35
data/Ankyrin_repeat_protein/pdb_files/5H2C.pdb,data/Ankyrin_repeat_protein/metadata_files/5H2C_metadata.json,2,heteromeric protein,5H2C
data/Ankyrin_repeat_protein/pdb_files/1G3N.pdb,data/Ankyrin_repeat_protein/metadata_files/1G3N_metadata.json,6,heteromeric protein,1G3N
data/Ankyrin_repeat_protein/pdb_files/5Z2M.pdb,data/Ankyrin_repeat_protein/metadata_files/5Z2M_metadata.json,4,heteromeric protein,5Z2M
data/Ankyrin_repeat_protein/pdb_files/5AQB.pdb,data/Ankyrin_repeat_protein/metadata_files/5AQB_metadata.json,2,heteromeric protein,5AQB
data/Ankyrin_repeat_protein/pdb_files/7ROY.pdb,data/Ankyrin_repeat_protein/metadata_files/7ROY_metadata.json,6,heteromeric protein,7ROY
data/Ankyrin_repeat_protein/pdb_files/5MA6.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA6_metadata.json,2,heteromeric protein,5MA6
data/Ankyrin_repeat_protein/pdb_files/5W7J.pdb,data/Ankyrin_repeat_protein/metadata_files/5W7J_metadata.json,4,heteromeric protein,5W7J
data/Ankyrin_repeat_protein/pdb_files/8SWI.pdb,data/Ankyrin_repeat_protein/metadata_files/8SWI_metadata.json,2,heteromeric protein,8SWI
data/Ankyrin_repeat_protein/pdb_files/8SR6.pdb,data/Ankyrin_repeat_protein/metadata_files/8SR6_metadata.json,2,heteromeric protein,8SR6
data/Ankyrin_repeat_protein/pdb_files/5MAK.pdb,data/Ankyrin_repeat_protein/metadata_files/5MAK_metadata.json,4,heteromeric protein,5MAK
data/Ankyrin_repeat_protein/pdb_files/7ZW4.pdb,data/Ankyrin_repeat_protein/metadata_files/7ZW4_metadata.json,2,heteromeric protein,7ZW4
data/Ankyrin_repeat_protein/pdb_files/6SKU.pdb,data/Ankyrin_repeat_protein/metadata_files/6SKU_metadata.json,2,heteromeric protein,6SKU
data/Ankyrin_repeat_protein/pdb_files/7TW6.pdb,data/Ankyrin_repeat_protein/metadata_files/7TW6_metadata.json,6,heteromeric protein,7TW6
data/Ankyrin_repeat_protein/pdb_files/2DVW.pdb,data/Ankyrin_repeat_protein/metadata_files/2DVW_metadata.json,2,heteromeric protein,2DVW
data/Ankyrin_repeat_protein/pdb_files/6FP7.pdb,data/Ankyrin_repeat_protein/metadata_files/6FP7_metadata.json,2,heteromeric protein,6FP7
data/Ankyrin_repeat_protein/pdb_files/6FP8.pdb,data/Ankyrin_repeat_protein/metadata_files/6FP8_metadata.json,2,heteromeric protein,6FP8
data/Ankyrin_repeat_protein/pdb_files/1BI8.pdb,data/Ankyrin_repeat_protein/metadata_files/1BI8_metadata.json,4,heteromeric protein,1BI8
data/Ankyrin_repeat_protein/pdb_files/7DDX.pdb,data/Ankyrin_repeat_protein/metadata_files/7DDX_metadata.json,2,heteromeric protein,7DDX
data/Ankyrin_repeat_protein/pdb_files/7UDJ.pdb,data/Ankyrin_repeat_protein/metadata_files/7UDJ_metadata.json,2,heteromeric protein,7UDJ
data/Ankyrin_repeat_protein/pdb_files/7B4W.pdb,data/Ankyrin_repeat_protein/metadata_files/7B4W_metadata.json,4,heteromeric protein,7B4W
data/Ankyrin_repeat_protein/pdb_files/6V9H.pdb,data/Ankyrin_repeat_protein/metadata_files/6V9H_metadata.json,5,heteromeric protein,6V9H
data/Ankyrin_repeat_protein/pdb_files/5ET0.pdb,data/Ankyrin_repeat_protein/metadata_files/5ET0_metadata.json,4,heteromeric protein,5ET0
data/Ankyrin_repeat_protein/pdb_files/6MOH.pdb,data/Ankyrin_repeat_protein/metadata_files/6MOH_metadata.json,4,heteromeric protein,6MOH
data/Ankyrin_repeat_protein/pdb_files/3V31.pdb,data/Ankyrin_repeat_protein/metadata_files/3V31_metadata.json,2,heteromeric protein,3V31
data/Ankyrin_repeat_protein/pdb_files/6GHM.pdb,data/Ankyrin_repeat_protein/metadata_files/6GHM_metadata.json,4,heteromeric protein,6GHM
data/Ankyrin_repeat_protein/pdb_files/5HKP.pdb,data/Ankyrin_repeat_protein/metadata_files/5HKP_metadata.json,4,heteromeric protein,5HKP
data/Ankyrin_repeat_protein/pdb_files/4NIK.pdb,data/Ankyrin_repeat_protein/metadata_files/4NIK_metadata.json,2,heteromeric protein,4NIK
data/Ankyrin_repeat_protein/pdb_files/6URQ.pdb,data/Ankyrin_repeat_protein/metadata_files/6URQ_metadata.json,4,heteromeric protein,6URQ
data/Ankyrin_repeat_protein/pdb_files/7DNG.pdb,data/Ankyrin_repeat_protein/metadata_files/7DNG_metadata.json,2,heteromeric protein,7DNG
data/Ankyrin_repeat_protein/pdb_files/3IXE.pdb,data/Ankyrin_repeat_protein/metadata_files/3IXE_metadata.json,2,heteromeric protein,3IXE
data/Ankyrin_repeat_protein/pdb_files/5LEL.pdb,data/Ankyrin_repeat_protein/metadata_files/5LEL_metadata.json,9,heteromeric protein,5LEL
data/Ankyrin_repeat_protein/pdb_files/5ENS.pdb,data/Ankyrin_repeat_protein/metadata_files/5ENS_metadata.json,6,heteromeric protein,5ENS
data/Ankyrin_repeat_protein/pdb_files/5ENO.pdb,data/Ankyrin_repeat_protein/metadata_files/5ENO_metadata.json,6,heteromeric protein,5ENO
data/Ankyrin_repeat_protein/pdb_files/5ENP.pdb,data/Ankyrin_repeat_protein/metadata_files/5ENP_metadata.json,6,heteromeric protein,5ENP
data/Ankyrin_repeat_protein/pdb_files/5ENQ.pdb,data/Ankyrin_repeat_protein/metadata_files/5ENQ_metadata.json,6,heteromeric protein,5ENQ
data/Ankyrin_repeat_protein/pdb_files/5ENR.pdb,data/Ankyrin_repeat_protein/metadata_files/5ENR_metadata.json,6,heteromeric protein,5ENR
data/Ankyrin_repeat_protein/pdb_files/6MOE.pdb,data/Ankyrin_repeat_protein/metadata_files/6MOE_metadata.json,4,heteromeric protein,6MOE
data/Ankyrin_repeat_protein/pdb_files/1Q3P.pdb,data/Ankyrin_repeat_protein/metadata_files/1Q3P_metadata.json,4,heteromeric protein,1Q3P
data/Ankyrin_repeat_protein/pdb_files/6EMK.pdb,data/Ankyrin_repeat_protein/metadata_files/6EMK_metadata.json,10,heteromeric protein,6EMK
data/Ankyrin_repeat_protein/pdb_files/8WPL.pdb,data/Ankyrin_repeat_protein/metadata_files/8WPL_metadata.json,4,heteromeric protein,8WPL
data/Ankyrin_repeat_protein/pdb_files/8WPM.pdb,data/Ankyrin_repeat_protein/metadata_files/8WPM_metadata.json,4,heteromeric protein,8WPM
data/Ankyrin_repeat_protein/pdb_files/5MA5.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA5_metadata.json,4,heteromeric protein,5MA5
data/Ankyrin_repeat_protein/pdb_files/3V2O.pdb,data/Ankyrin_repeat_protein/metadata_files/3V2O_metadata.json,2,heteromeric protein,3V2O
data/Ankyrin_repeat_protein/pdb_files/3V2X.pdb,data/Ankyrin_repeat_protein/metadata_files/3V2X_metadata.json,2,heteromeric protein,3V2X
data/Ankyrin_repeat_protein/pdb_files/6MWQ.pdb,data/Ankyrin_repeat_protein/metadata_files/6MWQ_metadata.json,8,heteromeric protein,6MWQ
data/Ankyrin_repeat_protein/pdb_files/5MBM.pdb,data/Ankyrin_repeat_protein/metadata_files/5MBM_metadata.json,4,heteromeric protein,5MBM
data/Ankyrin_repeat_protein/pdb_files/4Z68.pdb,data/Ankyrin_repeat_protein/metadata_files/4Z68_metadata.json,2,heteromeric protein,4Z68
data/Ankyrin_repeat_protein/pdb_files/5ENT.pdb,data/Ankyrin_repeat_protein/metadata_files/5ENT_metadata.json,6,heteromeric protein,5ENT
data/Ankyrin_repeat_protein/pdb_files/5O2S.pdb,data/Ankyrin_repeat_protein/metadata_files/5O2S_metadata.json,8,heteromeric protein,5O2S
data/Ankyrin_repeat_protein/pdb_files/5MLB.pdb,data/Ankyrin_repeat_protein/metadata_files/5MLB_metadata.json,8,heteromeric protein,5MLB
data/Ankyrin_repeat_protein/pdb_files/7RMA.pdb,data/Ankyrin_repeat_protein/metadata_files/7RMA_metadata.json,2,heteromeric protein,7RMA
data/Ankyrin_repeat_protein/pdb_files/1BLX.pdb,data/Ankyrin_repeat_protein/metadata_files/1BLX_metadata.json,2,heteromeric protein,1BLX
data/Ankyrin_repeat_protein/pdb_files/4B7K.pdb,data/Ankyrin_repeat_protein/metadata_files/4B7K_metadata.json,2,heteromeric protein,4B7K
data/Ankyrin_repeat_protein/pdb_files/6TL0.pdb,data/Ankyrin_repeat_protein/metadata_files/6TL0_metadata.json,2,heteromeric protein,6TL0
data/Ankyrin_repeat_protein/pdb_files/4GRG.pdb,data/Ankyrin_repeat_protein/metadata_files/4GRG_metadata.json,4,heteromeric protein,4GRG
data/Ankyrin_repeat_protein/pdb_files/4B93.pdb,data/Ankyrin_repeat_protein/metadata_files/4B93_metadata.json,2,heteromeric protein,4B93
data/Ankyrin_repeat_protein/pdb_files/2KXP.pdb,data/Ankyrin_repeat_protein/metadata_files/2KXP_metadata.json,3,heteromeric protein,2KXP
data/Ankyrin_repeat_protein/pdb_files/3TWU.pdb,data/Ankyrin_repeat_protein/metadata_files/3TWU_metadata.json,2,heteromeric protein,3TWU
data/Ankyrin_repeat_protein/pdb_files/3UXG.pdb,data/Ankyrin_repeat_protein/metadata_files/3UXG_metadata.json,2,heteromeric protein,3UXG
data/Ankyrin_repeat_protein/pdb_files/3AAA.pdb,data/Ankyrin_repeat_protein/metadata_files/3AAA_metadata.json,3,heteromeric protein,3AAA
data/Ankyrin_repeat_protein/pdb_files/5MA4.pdb,data/Ankyrin_repeat_protein/metadata_files/5MA4_metadata.json,2,heteromeric protein,5MA4
data/Ankyrin_repeat_protein/pdb_files/5KNH.pdb,data/Ankyrin_repeat_protein/metadata_files/5KNH_metadata.json,2,heteromeric protein,5KNH
data/Ankyrin_repeat_protein/pdb_files/6HL5.pdb,data/Ankyrin_repeat_protein/metadata_files/6HL5_metadata.json,2,heteromeric protein,6HL5
data/Ankyrin_repeat_protein/pdb_files/5WJ6.pdb,data/Ankyrin_repeat_protein/metadata_files/5WJ6_metadata.json,4,heteromeric protein,5WJ6
data/Ankyrin_repeat_protein/pdb_files/9JXQ.pdb,data/Ankyrin_repeat_protein/metadata_files/9JXQ_metadata.json,4,heteromeric protein,9JXQ
data/Ankyrin_repeat_protein/pdb_files/8ZE8.pdb,data/Ankyrin_repeat_protein/metadata_files/8ZE8_metadata.json,8,heteromeric protein,8ZE8
data/Ankyrin_repeat_protein/pdb_files/6IYB.pdb,data/Ankyrin_repeat_protein/metadata_files/6IYB_metadata.json,4,heteromeric protein,6IYB
data/Ankyrin_repeat_protein/pdb_files/6VFI.pdb,data/Ankyrin_repeat_protein/metadata_files/6VFI_metadata.json,2,heteromeric protein,6VFI
data/Ankyrin_repeat_protein/pdb_files/3L4F.pdb,data/Ankyrin_repeat_protein/metadata_files/3L4F_metadata.json,4,heteromeric protein,3L4F
data/Ankyrin_repeat_protein/pdb_files/7X6I.pdb,data/Ankyrin_repeat_protein/metadata_files/7X6I_metadata.json,8,heteromeric protein,7X6I
data/Ankyrin_repeat_protein/pdb_files/8GVX.pdb,data/Ankyrin_repeat_protein/metadata_files/8GVX_metadata.json,8,heteromeric protein,8GVX
data/Ankyrin_repeat_protein/pdb_files/4HI8.pdb,data/Ankyrin_repeat_protein/metadata_files/4HI8_metadata.json,2,heteromeric protein,4HI8
data/Ankyrin_repeat_protein/pdb_files/4HI9.pdb,data/Ankyrin_repeat_protein/metadata_files/4HI9_metadata.json,2,heteromeric protein,4HI9
data/Ankyrin_repeat_protein/pdb_files/6RUJ.pdb,data/Ankyrin_repeat_protein/metadata_files/6RUJ_metadata.json,2,heteromeric protein,6RUJ
data/Ankyrin_repeat_protein/pdb_files/4JAA.pdb,data/Ankyrin_repeat_protein/metadata_files/4JAA_metadata.json,2,heteromeric protein,4JAA
data/Ankyrin_repeat_protein/pdb_files/4NR1.pdb,data/Ankyrin_repeat_protein/metadata_files/4NR1_metadata.json,2,heteromeric protein,4NR1
data/Ankyrin_repeat_protein/pdb_files/7A1N.pdb,data/Ankyrin_repeat_protein/metadata_files/7A1N_metadata.json,2,heteromeric protein,7A1N
data/Ankyrin_repeat_protein/pdb_files/7A1O.pdb,data/Ankyrin_repeat_protein/metadata_files/7A1O_metadata.json,2,heteromeric protein,7A1O
data/Ankyrin_repeat_protein/pdb_files/7A1P.pdb,data/Ankyrin_repeat_protein/metadata_files/7A1P_metadata.json,2,heteromeric protein,7A1P
